code,nombre,name
03222333,Cerezas.,Cherries.
03222334,Ciruelas.,Plums.
03222340,Uvas.,Grapes.
03222341,Uvas de mesa.,Table grapes.
03222342,Uvas de vino.,Wine grapes.
03222400,Aceitunas.,Olives.
03300000,"Productos de la ganadería, la caza y la pesca.","Farming, hunting and fishing products."
03310000,"Pescado, crustáceos y productos acuáticos.","Fish, crustaceans and aquatic products."
03311000,Pescado.,Fish.
03311100,Pescado plano.,Flat fish.
03311110,Lenguado.,Sole.
03311120,Solla.,Plaice.
03311200,Pescados de la familia del bacalao.,Fish of the cod family.
03311210,Bacalao.,Cod.
03311220,Abadejo.,Pollock.
03311230,Merluza.,Hake.
03311240,Eglefino.,Haddock.
03311300,Arenque.,Herring.
03311400,Atún.,Tuna.
03311500,Merlán.,Whiting.
03311600,Morralla.,Whitebait.
03311700,Salmón.,Salmon.
03312000,Crustáceos.,Crustaceans.
03312100,Ostras.,Oysters.
03312200,Moluscos.,Shellfish.
03312300,Invertebrados acuáticos.,Aquatic invertebrates.
03313000,Productos acuáticos.,Aquatic products.
03313100,Corales o productos similares.,Corals or similar products.
03313200,Esponjas naturales.,Natural sponges.
03313300,Algas marinas.,Seaweeds.
03313310,Algas.,Algae.
03320000,Ganado y animales pequeños.,"Cattle, livestock and small animals."
03321000,Ganado bovino.,Cattle.
03321100,Bovinos adultos.,Bovine cattle.
03321200,Terneros.,Calves.
03322000,Ganado no bovino.,Livestock.
03322100,Ovejas.,Sheep.
03322200,Cabras.,Goats.
03322300,Caballos.,Horses.
03323000,Cerdos.,Pigs.
03324000,Aves de corral vivas.,Live poultry.
03325000,Animales pequeños.,Small animals.
03325100,Conejos.,Rabbits.
03325200,Liebres.,Hares.
03330000,Productos de animales de granja.,Farm animal products.
03331000,Leche fresca de oveja y de cabra.,Fresh milk from sheep and goats.
03331100,Leche de oveja.,Sheep’s milk.
03331200,Leche de cabra.,Goats’ milk.
03332000,Lana y pelo de animales.,Wool and animal hair.
03332100,Lana de esquila.,Shorn wool.
03332200,Pelo de animal.,Animal hair.
03333000,Leche fresca de vaca.,Fresh cows’ milk.
03340000,Marcas auriculares para animales.,Animal ear tags.
03341000,Marcas auriculares para ganado bovino.,Bovine ear tags.
03400000,Productos de la silvicultura y de la explotación forestal.,Forestry and logging products.
03410000,Madera.,Wood.
03411000,Madera de coníferas.,Coniferous wood.
03412000,Madera de especies tropicales.,Tropical wood.
03413000,Madera para calefacción.,Fuel wood.
03414000,Madera en bruto.,Rough wood.
03415000,Madera blanda.,Softwood.
03416000,Residuos de madera.,Wood waste.
03417000,Madera de desecho.,Scrap wood.
03417100,Serrín.,Sawdust.
03418000,Troncos.,Logs.
03418100,Madera dura.,Hardwood.
03419000,Madera de construcción.,Timber.
03419100,Productos de madera.,Timber products.
03419200,Madera de mina.,Mining timber.
03420000,Gomas.,Gums.
03421000,Bálsamos.,Balsams.
03422000,Laca.,Lac.
03430000,Corcho.,Cork.
03431000,Corcho natural.,Natural cork.
03432000,Artículos de cestería.,Basketware.
03432100,Artículos de espartería.,Wickerwork.
03440000,Productos de la silvicultura.,Forestry products.
03441000,"Plantas, hierbas, musgos o líquenes para uso ornamental.","Ornamental plants, grasses, mosses or lichens."
03450000,Productos de vivero.,Tree-nursery products.
03451000,Plantas.,Plants.
03451100,Plantas para trasplantar.,Bedding plants.
03451200,Bulbos florales.,Flower bulbs.
03451300,Arbustos.,Shrubs.
03452000,Árboles.,Trees.
03460000,Pasta de celulosa.,Pulp.
03461000,Pasta de madera.,Wood pulp.
03461100,Pasta química de madera.,Chemical wood pulp.
09000000,"Derivados del petróleo, combustibles, electricidad y otras fuentes de energía.","Petroleum products, fuel, electricity and other sources of energy."
09100000,Combustibles.,Fuels.
09110000,Combustibles sólidos.,Solid fuels.
09111000,Carbón y combustibles derivados del carbón.,Coal and coal-based fuels.
09111100,Carbón.,Coal.
09111200,Combustibles derivados del carbón.,Coal-based fuels.
09111210,Antracita.,Hard coal.
09111220,Briquetas.,Briquettes.
09111300,Combustibles fósiles.,Fossil fuels.
09111400,Combustibles de madera.,Wood fuels.
09112000,Lignito y turba.,Lignite and peat.
09112100,Lignito.,Lignite.
09112200,Turba.,Peat.
09113000,Coque.,Coke.
09120000,Combustibles gaseosos.,Gaseous fuels.
09121000,"Gas de hulla, gas de red o gases similares.","Coal gas, mains gas or similar gases."
09121100,Gas de hulla o gases similares.,Coal gas or similar gases.
09121200,Gas de red.,Mains gas.
09122000,Propano y butano.,Propane and butane.
09122100,Gas propano.,Propane gas.
09122110,Gas propano licuado.,Liquefied propane gas.
09122200,Gas butano.,Butane gas.
09122210,Gas butano licuado.,Liquefied butane gas.
09123000,Gas natural.,Natural gas.
09130000,Petróleo y destilados.,Petroleum and distillates.
09131000,Queroseno de aviación.,Aviation kerosene.
09131100,Combustibles tipo queroseno para reactores.,Kerosene jet type fuels.
09132000,Gasolina.,Petrol.
09132100,Gasolina sin plomo.,Unleaded petrol.
09132200,Gasolina con plomo.,Leaded petrol.
09132300,Gasolina con etanol.,Petrol with ethanol.
09133000,Gas licuado del petróleo (GLP).,Liquefied Petroleum Gas (LPG).
09134000,Gasóleos.,Gas oils.
09134100,Gasoil.,Diesel oil.
09134200,Combustible para motores diésel.,Diesel fuel.
09134210,Combustible para motores diésel (0.2).,Diesel fuel (0.2).
09134220,Combustible para motores diésel (EN 590).,Diesel fuel (EN 590).
09134230,Biodiésel.,Biodiesel.
09134231,Biodiésel (B20).,Biodiesel (B20).
09134232,Biodiésel (B100).,Biodiesel (B100).
09135000,Aceites combustibles.,Fuel oils.
09135100,Petróleo para calefacción.,Heating oil.
09135110,Aceites combustibles con bajo contenido de azufre.,Low-sulphur combustible oils.
09200000,"Productos del petróleo, del carbón y de aceites minerales.","Petroleum, coal and oil products."
09210000,Preparados lubricantes.,Lubricating preparations.
09211000,Aceites lubricantes y agentes lubricantes.,Lubricating oils and lubricating agents.
09211100,Aceites para motores.,Motor oils.
09211200,Aceites para compresores.,Compressor lube oils.
09211300,Aceites para turbinas.,Turbine lube oils.
09211400,Aceites para engranajes.,Gear oils.
09211500,Aceites para reductores.,Reductor oils.
09211600,Aceites para sistemas hidráulicos y otros usos.,Oils for use in hydraulic systems and other purposes.
09211610,Líquidos para uso hidráulico.,Liquids for hydraulic purposes.
09211620,Aceites de desmoldado.,Mould release oils.
09211630,Aceites anticorrosión.,Anti-corrosion oils.
09211640,Aceites para aislamiento eléctrico.,Electrical insulating oils.
09211650,Líquidos de frenos.,Brake fluids.
09211700,Aceites blancos y parafinas líquidas.,White oils and liquid paraffin.
09211710,Aceites blancos.,White oils.
09211720,Parafinas líquidas.,Liquid paraffin.
09211800,Aceites de petróleo y preparados.,Petroleum oils and preparations.
09211810,Aceites ligeros.,Light oils.
09211820,Aceites de petróleo.,Petroleum oils.
09211900,Aceites lubricantes para motores de tracción.,Lubricating traction oils.
09220000,"Vaselina, ceras del petróleo y gasolinas especiales.","Petroleum jelly, waxes and special spirits."
09221000,Vaselina y ceras de petróleo.,Petroleum jelly and waxes.
09221100,Vaselina.,Petroleum jelly.
09221200,Parafina.,Paraffin wax.
09221300,Cera de petróleo.,Petroleum wax.
09221400,Residuos de petróleo.,Petroleum residues.
09222000,Gasolinas especiales.,Special spirits.
09222100,Trementina mineral.,White spirit.
09230000,Petróleo (crudo).,Petroleum (crude).
09240000,Productos derivados del carbón o de aceites minerales.,Oil and Coal-related products.
09241000,Esquistos bituminosos o petrolíferos.,Bituminous or oil shale.
09242000,Productos derivados del carbón.,Coal-related products.
09242100,Aceite de alquitrán.,Coal oil.
09300000,"Electricidad, calefacción, energías solar y nuclear.","Electricity, heating, solar and nuclear energy."
09310000,Electricidad.,Electricity.
09320000,"Vapor, agua caliente y productos afines.","Steam, hot water and associated products."
09321000,Agua caliente.,Hot water.
09322000,Vapor.,Steam.
09323000,Calefacción urbana.,District heating.
09324000,Calefacción a larga distancia.,Long-distance heating.
09330000,Energía solar.,Solar energy.
09331000,Placas solares.,Solar panels.
09331100,Captadores solares para la producción de calor.,Solar collectors for heat production.
09331200,Módulos solares fotovoltaicos.,Solar photovoltaic modules.
09332000,Instalación solar.,Solar installation.
09340000,Combustibles nucleares.,Nuclear fuels.
09341000,Uranio.,Uranium.
09342000,Plutonio.,Plutonium.
09343000,Materiales radiactivos.,Radioactive materials.
09344000,Radioisótopos.,Radio-isotopes.
14000000,"Productos de la minería, de metales de base y productos afines.","Mining, basic metals and related products."
14200000,Arena y arcilla.,Sand and clay.
14210000,"Grava, arena, piedras machacadas y agregados.","Gravel, sand, crushed stone and aggregates."
14211000,Arena.,Sand.
14211100,Arena natural.,Natural sand.
14212000,"Gránulos, gravilla, polvo de piedra, guijarros, grava, piedras partidas y machacadas, mezclas de piedra, mezclas arena-grava y demás agregados.","Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates."
14212100,Guijarros y grava.,Pebbles and gravel.
14212110,Grava.,Pebbles.
14212120,Guijarros.,Gravel.
14212200,Agregados.,Aggregates.
14212210,Mezcla arena-grava.,Sand-gravel mix.
14212300,Piedra partida y machacada.,Broken and crushed stone.
14212310,Balasto.,Ballast.
14212320,Granito machacado.,Crushed granite.
14212330,Basalto machacado.,Crushed basalt.
14212400,Suelo.,Soil.
14212410,Tierra vegetal.,Topsoil.
14212420,Subsuelo.,Subsoil.
14212430,Gravilla.,Stone chippings.
14213000,"Macadán, macadán bituminoso y arenas bituminosas.","Macadam, tarmac and tar sands."
14213100,Macadán.,Macadam.
14213200,Macadán bituminoso.,Tarmac.
14213300,Arenas bituminosas.,Tar sands.
14220000,Arcilla y caolín.,Clay and kaolin.
14221000,Arcilla.,Clay.
14222000,Caolín.,Kaolin.
14300000,Minerales químicos y abonos minerales.,Chemical and fertiliser minerals.
14310000,Abonos minerales.,Fertiliser minerals.
14311000,"Calcio natural, fosfato aluminocálcico y sales de potasio natural en bruto.","Natural calcium, aluminium calcium phosphate and crude natural potassium salts."
14311100,Calcio natural.,Natural calcium.
14311200,Fosfatos aluminocálcicos.,Aluminium calcium phosphates.
14311300,Sales de potasio natural en bruto.,Crude natural potassium salts.
14312000,Piritas de hierro.,Iron pyrites.
14312100,Piritas de hierro sin tostar.,Unroasted iron pyrites.
14320000,Minerales químicos.,Chemical minerals.
14400000,Sal y cloruro de sodio puro.,Salt and pure sodium chloride.
14410000,Sal gema.,Rock salt.
14420000,Sal marina.,Sea salt.
14430000,Sal evaporada y cloruro de sodio puro.,Evaporated salt and pure sodium chloride.
14450000,Salmuera.,Salt in brine.
14500000,Productos relacionados con la explotación de minas y canteras.,Related mining and quarrying products.
14520000,Piedras preciosas y semipreciosas; piedra pómez; esmeril; abrasivos naturales; otros minerales y metales preciosos.,Precious and semi-precious stones; pumice stone; emery; natural abrasives; other minerals and precious metals.
14521000,Piedras preciosas y semipreciosas.,Precious and semi-precious stones.
14521100,Piedras preciosas.,Precious stones.
14521140,Polvillo o polvo de piedras preciosas.,Dust or powder of precious stones.
14521200,Piedras semipreciosas.,Semi-precious stones.
14521210,Polvillo o polvo de piedras semipreciosas.,Dust or powder of semi-precious stones.
14522000,Diamantes industriales; piedra pómez; esmeril; y otros abrasivos naturales.,Industrial diamonds; pumice stone; emery and other natural abrasives.
14522100,Piedra pómez.,Pumice stone.
14522200,Diamantes industriales.,Industrial diamonds.
14522300,Esmeril.,Emery.
14522400,Abrasivos naturales.,Natural abrasives.
14523000,"Minerales conexos, metales preciosos y productos afines.","Related minerals, precious metals and associated products."
14523100,Minerales.,Minerals.
14523200,Oro.,Gold.
14523300,Plata.,Silver.
14523400,Platino.,Platinum.
14600000,Minerales metálicos y aleaciones.,Metal ores and alloys.
14610000,Minerales metálicos.,Metal ores.
14611000,Minerales de hierro.,Iron ores.
14612000,Minerales metálicos no ferrosos.,Non-ferrous metal ores.
14612100,Minerales de cobre.,Copper ores.
14612200,Minerales de níquel.,Nickel ores.
14612300,Minerales de aluminio.,Aluminium ores.
14612400,Minerales de metales preciosos.,Precious-metal ores.
14612500,Minerales de plomo.,Lead ores.
14612600,Minerales de cinc.,Zinc ores.
14612700,Minerales de estaño.,Tin ores.
14613000,Minerales de uranio y torio.,Uranium and thorium ores.
14613100,Minerales de uranio.,Uranium ores.
14613200,Minerales de torio.,Thorium ores.
14614000,Minerales diversos.,Miscellaneous ores.
14620000,Aleaciones.,Alloys.
14621000,Ferroaleaciones.,Ferro-alloys.
14621100,Ferroaleaciones distintas de las de la CECA.,Non-ECSC ferro-alloys.
14621110,Ferromanganeso.,Ferro-manganese.
14621120,Ferrocromo.,Ferro-chromium.
14621130,Ferroníquel.,Ferro-nickel.
14622000,Acero.,Steel.
14630000,"Escoria y batiduras, desperdicios y desechos ferrosos.","Slag, dross, ferrous waste and scrap."
14700000,Metales comunes.,Basic metals.
14710000,"Hierro, plomo, zinc, estaño y cobre.","Iron, lead, zinc, tin and copper."
14711000,Hierro.,Iron.
14711100,Fundición en bruto.,Pig iron.
14712000,Plomo.,Lead.
14713000,Zinc.,Zinc.
14714000,Estaño.,Tin.
14715000,Cobre.,Copper.
14720000,"Aluminio, níquel, escandio, titanio y vanadio.","Aluminium, nickel, scandium, titanium and vanadium."
14721000,Aluminio.,Aluminium.
14721100,Óxido de aluminio.,Aluminium oxide.
14722000,Níquel.,Nickel.
14723000,Escandio.,Scandium.
14724000,Titanio.,Titanium.
14725000,Vanadio.,Vanadium.
14730000,"Cromo, manganeso, cobalto, itrio y circonio.","Chromium, manganese, cobalt, yttrium and zirconium."
14731000,Cromo.,Chromium.
14732000,Manganeso.,Manganese.
14733000,Cobalto.,Cobalt.
14734000,Itrio.,Yttrium.
14735000,Circonio.,Zirconium.
14740000,"Molibdeno, tecnecio, rutenio y rodio.","Molybdenum, technetium, ruthenium and rhodium."
14741000,Molibdeno.,Molybdenum.
14742000,Tecnecio.,Technetium.
14743000,Rutenio.,Ruthenium.
14744000,Rodio.,Rhodium.
14750000,"Cadmio, lutecio, hafnio, tantalio y wolframio.","Cadmium, lutetium, hafnium, tantalum and tungsten."
14751000,Cadmio.,Cadmium.
14752000,Lutecio.,Lutetium.
14753000,Hafnio.,Hafnium.
14754000,Tantalio.,Tantalum.
14755000,Wolframio.,Tungsten.
14760000,"Iridio, galio, indio, talio y bario.","Iridium, gallium, indium, thallium and barium."
14761000,Iridio.,Iridium.
14762000,Galio.,Gallium.
14763000,Indio.,Indium.
14764000,Talio.,Thallium.
14765000,Bario.,Barium.
14770000,"Cesio, estroncio, rubidio y calcio.","Caesium, strontium, rubidium and calcium."
14771000,Cesio.,Caesium.
14772000,Estroncio.,Strontium.
14773000,Rubidio.,Rubidium.
14774000,Calcio.,Calcium.
14780000,"Potasio, magnesio, sodio y litio.","Potassium, magnesium, sodium and lithium."
14781000,Potasio.,Potassium.
14782000,Magnesio.,Magnesium.
14783000,Sodio.,Sodium.
14784000,Litio.,Lithium.
14790000,"Niobio, osmio, renio y paladio.","Niobium, osmium, rhenium and palladium."
14791000,Niobio.,Niobium.
14792000,Osmio.,Osmium.
14793000,Renio.,Rhenium.
14794000,Paladio.,Palladium.
14800000,Productos minerales no metálicos diversos.,Miscellaneous non-metallic mineral products.
14810000,Productos abrasivos.,Abrasive products.
14811000,"Muelas, piedras y ruedas de amolar.","Millstones, grindstones and grinding wheels."
14811100,Muelas.,Millstones.
14811200,Piedras de amolar.,Grindstones.
14811300,Ruedas de amolar.,Grinding wheels.
14812000,Abrasivos en polvo o en grano.,Abrasive powder or grain.
14813000,Corindón artificial.,Artificial corundum.
14814000,Grafito artificial.,Artificial graphite.
14820000,Vidrio.,
14830000,Fibras de vidrio.,
14900000,Materias primas secundarias de recuperación.,Recovered secondary raw materials.
14910000,Materias primas metálicas secundarias de recuperación.,Recovered secondary metal raw materials.
14920000,Materias primas no metálicas secundarias de recuperación.,Recovered secondary non-metal raw materials.
14930000,Cenizas y residuos que contengan metales.,
15000000,"Alimentos, bebidas, tabaco y productos afines.","Food, beverages, tobacco and related products."
15100000,"Productos de origen animal, carne y productos cárnicos.","Animal products, meat and meat products."
15110000,Carne.,Meat.
15111000,Carne de bovino.,Bovine meat.
15111100,Carne de vaca.,Beef.
15111200,Carne de ternera.,Veal.
15112000,Aves de corral.,Poultry.
15112100,Aves de corral frescas.,Fresh poultry.
15112110,Gansos.,Geese.
15112120,Pavos.,Turkeys.
15112130,Pollos.,Chickens.
15112140,Patos.,Ducks.
15112300,Hígados de aves de corral.,Poultry livers.
15112310,Foie gras.,Foie gras.
15113000,Carne de cerdo.,Pork.
15114000,Despojos.,Offal.
15115000,Cordero y carnero.,Lamb and mutton.
15115100,Cordero.,Lamb.
15115200,Carnero.,Mutton.
15117000,Carne de cabra.,Goat meat.
15118000,"Carne de caballo, asno, mulo o burdégano.","Horse, ass, mule or hinny meat."
15118100,Carne de caballo.,Horsemeat.
15118900,"Carne de asno, mulo o burdégano.","Ass, mule or hinny meat."
15119000,Carnes diversas.,Various meats.
15119100,Carne de conejo.,Rabbit meat.
15119200,Carne de liebre.,Hare meat.
15119300,Caza.,Game.
15119400,Ancas de rana.,Frogs’ legs.
15119500,Palomas.,Pigeons.
15119600,Carne de pescado.,Fish meat.
15130000,Productos cárnicos.,Meat products.
15131000,Conservas y preparaciones cárnicas.,Meat preserves and preparations.
15131100,Productos a base de carne para embutidos.,Sausage-meat products.
15131110,Carne para embutidos.,Sausage meat.
15131120,Productos de charcutería.,Sausage products.
15131130,Embutidos.,Sausages.
15131134,Morcillas y otros embutidos de sangre.,Black pudding and other blood sausages.
15131135,Embutidos de carne de ave.,Poultry sausages.
15131200,"Carne seca, salada, ahumada o condimentada.","Dried, salted, smoked or seasoned meat."
15131210,Jamón ahumado.,Gammon.
15131220,Beicon.,Bacon.
15131230,Salami.,Salami.
15131300,Preparaciones a base de hígado.,Liver preparations.
15131310,Paté.,Pâté.
15131320,Preparaciones a base de hígado de ganso o de pato.,Preparations of goose or duck liver.
15131400,Productos a base de carne de cerdo.,Pork products.
15131410,Jamón.,Ham.
15131420,Albóndigas.,Meatballs.
15131490,Platos preparados con carne de cerdo.,Prepared pork dishes.
15131500,Productos de volatería.,Poultry products.
15131600,Productos a base de carne de vaca y de ternera.,Beef and veal products.
15131610,Albóndigas de carne de vaca.,Beef meatballs.
15131620,Carne picada de vaca.,Minced beef.
15131640,Hamburguesas de carne de vaca.,Beefburgers.
15131700,Preparaciones a base de carne.,Meat preparations.
15200000,Pescado preparado y en conserva.,Prepared and preserved fish.
15210000,"Filetes de pescado, hígados y huevas de pescado.","Fish fillets, fish livers and roe."
15211000,Filetes de pescado.,Fish fillets.
15211100,Filetes de pescado fresco.,Fresh fish fillets.
15212000,Huevas.,Fish roe.
15213000,Hígados de pescado.,Fish livers.
15220000,"Pescado, filetes de pescado y otros tipos de carne de pescado congelados.","Frozen fish, fish fillets and other fish meat."
15221000,Pescado congelado.,Frozen fish.
15229000,Productos congelados de pescados.,Frozen fish products.
15230000,Pescado seco o salado; en salmuera; ahumado.,Dried or salted fish; fish in brine; smoked fish.
15231000,Pescado seco.,Dried fish.
15232000,Pescado salado.,Salted fish.
15233000,Pescado en salmuera.,Fish in brine.
15234000,Pescado ahumado.,Smoked fish.
15235000,Conservas de pescado.,Preserved fish.
15240000,Pescado en conserva o en lata y otros pescados preparados o en conserva.,Canned or tinned fish and other prepared or preserved fish.
15241000,"Pescado empanado, en conserva o en lata.","Coated, canned or tinned fish."
15241100,Salmón en conserva.,Canned salmon.
15241200,Arenques preparados o en conserva.,Prepared or preserved herring.
15241300,Sardinas.,Sardines.
15241400,Atún en conserva.,Canned tuna.
15241500,Caballa.,Mackerel.
15241600,Anchoas.,Anchovies.
15241700,Palitos de pescado.,Fish fingers.
15241800,Preparaciones a base de pescado empanado.,Coated fish preparations.
15242000,Platos de pescado preparados.,Prepared fish dishes.
15243000,Preparaciones a base de pescado.,Preparations of fish.
15244000,Caviar y huevos de peces.,Caviar and fish eggs.
15244100,Caviar.,Caviar.
15244200,Huevos de peces.,Fish eggs.
15250000,Mariscos.,Seafood.
15251000,Crustáceos congelados.,Frozen crustaceans.
15252000,Crustáceos preparados o en conserva.,Prepared or preserved crustaceans.
15253000,Productos a base de moluscos.,Shellfish products.
15300000,"Frutas, legumbres y hortalizas y productos conexos.","Fruit, vegetables and related products."
15310000,Patatas y productos a base de patatas.,Potatoes and potato products.
15311000,Patatas congeladas.,Frozen potatoes.
15311100,Patatas fritas.,Chips or french fries.
15311200,"Patatas en dados, en rodajas y otras, congeladas.","Diced, sliced and other frozen potatoes."
15312000,Productos a base de patatas.,Potato products.
15312100,Puré de patatas instantáneo.,Instant mashed potatoes.
15312200,Patatas prefritas.,Part-fried potato chips.
15312300,Hojuelas de patatas.,Potato crisps.
15312310,Hojuelas de patatas condimentadas.,Flavoured potato crisps.
15312400,Aperitivos a base de patatas.,Potato snacks.
15312500,Croquetas de patatas.,Potato croquettes.
15313000,Patatas elaboradas.,Processed potatoes.
15320000,Zumos de frutas y hortalizas.,Fruit and vegetable juices.
15321000,Zumos de frutas.,Fruit juices.
15321100,Zumo de naranja.,Orange juice.
15321200,Zumo de pomelo.,Grapefruit juice.
